term,code,description,category,system
Jvara,AYU-001,Fever - elevation of body temperature,Fever,WHO AYURVEDA
Atisara,AYU-002,Diarrhea - frequent loose bowel movements,Digestive,WHO AYURVEDA
Kasa,AYU-003,Cough - reflex action to clear airways,Respiratory,WHO AYURVEDA
Shwasa,AYU-004,Dyspnea - difficulty in breathing,Respiratory,WHO AYURVEDA
Hridroga,AYU-005,Heart disease - disorders of the heart,Cardiovascular,WHO AYURVEDA
Pandu,AYU-006,Anemia - deficiency of red blood cells,Hematological,WHO AYURVEDA
Kamala,AYU-007,Jaundice - yellowing due to liver disorders,Hepatobiliary,WHO AYURVEDA
Mutrakrichra,AYU-008,Dysuria - painful urination,Genitourinary,WHO AYURVEDA
Arsha,AYU-009,Piles - swollen veins in anal region,Digestive,WHO AYURVEDA
Kushtha,AYU-010,Skin diseases - various dermatological conditions,Dermatology,WHO AYURVEDA
Netra Roga,AYU-011,Eye diseases - disorders affecting vision,Ophthalmology,WHO AYURVEDA
Karna Roga,AYU-012,Ear diseases - disorders affecting hearing,ENT,WHO AYURVEDA
Shiroroga,AYU-013,Head diseases - disorders of the head region,Neurological,WHO AYURVEDA
Gridhrasi,AYU-014,Sciatica - pain along sciatic nerve,Musculoskeletal,WHO AYURVEDA
Sandhivata,AYU-015,Joint pain - pain in joints,Musculoskeletal,WHO AYURVEDA
Vataja Jvara,AYU-016,Fever caused by Vata dosha imbalance,Fever,WHO AYURVEDA
Pittaja Jvara,AYU-017,Fever caused by Pitta dosha imbalance,Fever,WHO AYURVEDA
Kaphaja Jvara,AYU-018,Fever caused by Kapha dosha imbalance,Fever,WHO AYURVEDA
Sannipata Jvara,AYU-019,Fever caused by all doshas imbalance,Fever,WHO AYURVEDA
Vataja Atisara,AYU-020,Diarrhea caused by Vata dosha imbalance,Digestive,WHO AYURVEDA
Pittaja Atisara,AYU-021,Diarrhea caused by Pitta dosha imbalance,Digestive,WHO AYURVEDA
Kaphaja Atisara,AYU-022,Diarrhea caused by Kapha dosha imbalance,Digestive,WHO AYURVEDA
